measured_at,run_id,backend,page,trait,cer,problem,structure,backend_status,prompt_sha,render_version,endpoint,served_by,prompt_tokens,completion_tokens,reasoning_tokens,cost
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,09,nearly-empty,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,10,dense,0.007134,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,11,numbers,0.037681,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,12,special-chars,0.019608,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,13,corrections,0.185841,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/anthropic/claude-sonnet-5,14,margin-note,0.189744,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,01,clean-prose,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,02,rushed-prose,0.008000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,03,bulleted-list,0.010204,,list:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,04,numbered-list,0.000000,,list:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,05,table,0.049080,,table:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,06,formula,0.035714,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,07,mixed-language,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,08,diagram,0.187500,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,09,nearly-empty,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,10,dense,0.005945,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,11,numbers,0.046377,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,12,special-chars,0.014006,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,13,corrections,0.123894,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/google/gemini-2.5-flash,14,margin-note,0.194872,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,01,clean-prose,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,02,rushed-prose,0.026000,,,pass,635b0b92a4432be2,30,,,,,,
